DeviceTag: Xsens XII,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2026-07-17 10:50:31.701,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
727813,0.8709,0.1235,-0.3471,0.3253,-0.4270,0.0024,0.1278,0
727980,0.8707,0.1236,-0.3472,0.3257,-0.4518,-0.0055,0.1261,0
728146,0.8705,0.1237,-0.3473,0.3261,-0.4519,0.0017,0.1247,0
728313,0.8703,0.1238,-0.3473,0.3264,-0.4493,-0.0010,0.1591,0
728480,0.8702,0.1239,-0.3474,0.3268,-0.4560,-0.0064,0.1345,0
728646,0.8700,0.1240,-0.3474,0.3272,-0.4529,-0.0085,0.1399,0
728813,0.8698,0.1240,-0.3475,0.3275,-0.4417,-0.0008,0.1418,0
728980,0.8697,0.1241,-0.3475,0.3278,-0.4546,-0.0047,0.1352,0
729146,0.8695,0.1242,-0.3476,0.3282,-0.4636,-0.0260,0.1587,0
729313,0.8693,0.1243,-0.3476,0.3286,-0.4519,-0.0003,0.1393,0
729480,0.8692,0.1244,-0.3477,0.3289,-0.4631,-0.0141,0.1121,0
729646,0.8690,0.1245,-0.3477,0.3292,-0.4715,-0.0263,0.1445,0
729813,0.8689,0.1246,-0.3477,0.3295,-0.4567,-0.0032,0.1226,0
729980,0.8687,0.1247,-0.3478,0.3299,-0.4638,0.0042,0.1319,0
730146,0.8686,0.1248,-0.3478,0.3302,-0.4549,0.0089,0.1398,0
730313,0.8684,0.1249,-0.3478,0.3306,-0.4768,-0.0051,0.1387,0
730480,0.8682,0.1250,-0.3479,0.3310,-0.4848,-0.0025,0.1319,0
730646,0.8681,0.1251,-0.3479,0.3313,-0.4824,-0.0188,0.1393,0
730813,0.8680,0.1251,-0.3479,0.3316,-0.4830,0.0007,0.1383,0
730980,0.8678,0.1252,-0.3480,0.3319,-0.4767,-0.0040,0.1274,0
731146,0.8676,0.1254,-0.3480,0.3323,-0.4826,-0.0176,0.1538,0
731313,0.8675,0.1255,-0.3480,0.3327,-0.4731,-0.0095,0.1310,0
731480,0.8673,0.1256,-0.3480,0.3330,-0.4836,-0.0268,0.1296,0
731646,0.8672,0.1257,-0.3480,0.3333,-0.4757,0.0069,0.1238,0
731813,0.8671,0.1257,-0.3480,0.3335,-0.4774,-0.0121,0.1346,0
731980,0.8669,0.1258,-0.3480,0.3339,-0.4978,-0.0184,0.1397,0
732146,0.8668,0.1259,-0.3480,0.3342,-0.5031,-0.0077,0.1347,0
732313,0.8666,0.1260,-0.3480,0.3346,-0.4884,-0.0261,0.1352,0
732480,0.8665,0.1261,-0.3480,0.3349,-0.4899,-0.0117,0.1410,0
732646,0.8664,0.1262,-0.3480,0.3352,-0.4909,-0.0160,0.1270,0
732813,0.8663,0.1263,-0.3480,0.3354,-0.4840,-0.0060,0.1281,0
732980,0.8661,0.1264,-0.3480,0.3357,-0.4981,0.0032,0.1276,0
733146,0.8660,0.1265,-0.3480,0.3361,-0.5054,-0.0160,0.1279,0
733313,0.8658,0.1266,-0.3480,0.3365,-0.5188,-0.0255,0.1332,0
733480,0.8657,0.1267,-0.3480,0.3368,-0.4948,-0.0085,0.1297,0
733646,0.8656,0.1268,-0.3480,0.3370,-0.5258,-0.0081,0.1452,0
733813,0.8655,0.1269,-0.3480,0.3372,-0.4917,-0.0097,0.1461,0
733980,0.8654,0.1270,-0.3479,0.3375,-0.4984,-0.0163,0.1339,0
734146,0.8652,0.1271,-0.3479,0.3379,-0.5154,-0.0041,0.1491,0
734313,0.8651,0.1272,-0.3479,0.3382,-0.5017,-0.0246,0.1459,0
734480,0.8650,0.1273,-0.3478,0.3385,-0.5089,-0.0002,0.1438,0
734646,0.8649,0.1274,-0.3478,0.3388,-0.4963,0.0021,0.1144,0
734813,0.8648,0.1275,-0.3478,0.3390,-0.5190,-0.0199,0.1474,0
734980,0.8647,0.1276,-0.3478,0.3393,-0.5004,-0.0046,0.1305,0
735146,0.8645,0.1277,-0.3477,0.3396,-0.4938,-0.0024,0.1214,0
735313,0.8644,0.1278,-0.3477,0.3400,-0.5019,-0.0047,0.1345,0
735480,0.8643,0.1279,-0.3477,0.3403,-0.4915,-0.0249,0.1340,0
735646,0.8642,0.1280,-0.3476,0.3405,-0.5095,-0.0173,0.1280,0
735813,0.8641,0.1281,-0.3476,0.3407,-0.4959,-0.0050,0.1183,0
735980,0.8640,0.1282,-0.3476,0.3410,-0.4996,-0.0115,0.1412,0
736146,0.8639,0.1283,-0.3475,0.3413,-0.5056,-0.0133,0.1199,0
736313,0.8637,0.1284,-0.3475,0.3417,-0.4963,-0.0037,0.1206,0
736480,0.8636,0.1285,-0.3474,0.3419,-0.5020,-0.0171,0.1335,0
736646,0.8636,0.1286,-0.3474,0.3421,-0.5125,-0.0142,0.1199,0
736813,0.8635,0.1287,-0.3473,0.3423,-0.5013,-0.0115,0.1161,0
736980,0.8634,0.1288,-0.3473,0.3426,-0.5122,-0.0079,0.1310,0
737146,0.8633,0.1289,-0.3472,0.3429,-0.4952,-0.0140,0.1392,0
737313,0.8631,0.1290,-0.3472,0.3432,-0.5045,-0.0118,0.1469,0
737480,0.8631,0.1291,-0.3471,0.3435,-0.5044,-0.0155,0.1393,0
737647,0.8630,0.1292,-0.3471,0.3437,-0.5031,-0.0230,0.1256,0
737813,0.8629,0.1293,-0.3470,0.3439,-0.5002,-0.0202,0.1305,0
737980,0.8628,0.1294,-0.3469,0.3441,-0.5066,-0.0148,0.1531,0
738147,0.8627,0.1295,-0.3469,0.3444,-0.5154,-0.0208,0.1581,0
738313,0.8626,0.1296,-0.3468,0.3448,-0.4936,-0.0150,0.1278,0
738480,0.8625,0.1297,-0.3467,0.3450,-0.4967,-0.0073,0.1285,0
738647,0.8625,0.1298,-0.3467,0.3452,-0.4946,-0.0114,0.1297,0
738813,0.8624,0.1299,-0.3466,0.3454,-0.4946,-0.0372,0.1353,0
738980,0.8623,0.1300,-0.3465,0.3456,-0.4994,0.0091,0.1364,0
739147,0.8622,0.1301,-0.3465,0.3459,-0.4952,-0.0161,0.1324,0
739313,0.8621,0.1302,-0.3464,0.3462,-0.4920,-0.0120,0.1297,0
739480,0.8620,0.1303,-0.3463,0.3464,-0.4844,-0.0178,0.1303,0
739647,0.8620,0.1304,-0.3462,0.3466,-0.4790,-0.0104,0.1272,0
739813,0.8619,0.1304,-0.3462,0.3468,-0.4948,-0.0280,0.1369,0
739980,0.8618,0.1306,-0.3461,0.3470,-0.4969,-0.0207,0.1506,0
740147,0.8617,0.1307,-0.3460,0.3473,-0.5012,-0.0180,0.1323,0
740313,0.8616,0.1308,-0.3459,0.3476,-0.4783,0.0020,0.1222,0
740480,0.8616,0.1309,-0.3459,0.3478,-0.4974,-0.0204,0.1427,0
740647,0.8615,0.1310,-0.3458,0.3480,-0.4922,-0.0106,0.1274,0
740813,0.8615,0.1311,-0.3457,0.3481,-0.4915,-0.0094,0.1310,0
740980,0.8614,0.1311,-0.3456,0.3483,-0.4926,-0.0289,0.1450,0
741147,0.8613,0.1313,-0.3455,0.3486,-0.4874,-0.0009,0.1356,0
741313,0.8612,0.1314,-0.3454,0.3489,-0.4745,-0.0126,0.1203,0
741480,0.8612,0.1315,-0.3454,0.3491,-0.4871,-0.0081,0.1316,0
741647,0.8611,0.1315,-0.3453,0.3492,-0.4826,-0.0037,0.1189,0
741813,0.8611,0.1316,-0.3452,0.3494,-0.4710,-0.0187,0.1199,0
741980,0.8610,0.1317,-0.3451,0.3496,-0.4787,-0.0201,0.1367,0
742147,0.8609,0.1318,-0.3450,0.3498,-0.4663,-0.0042,0.1272,0
