DeviceTag: Xsens X,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2026-07-17 11:13:52.529,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
39703097,0.5160,0.2709,-0.6409,0.4996,-0.6718,-0.5281,-0.1845,0
39703263,0.5146,0.2702,-0.6414,0.5009,-0.5287,-0.5556,-0.0393,0
39703430,0.5133,0.2696,-0.6414,0.5024,-0.3784,-0.5338,0.1396,0
39703597,0.5120,0.2693,-0.6412,0.5042,-0.3547,-0.4719,0.0556,0
39703763,0.5105,0.2691,-0.6413,0.5057,-0.5373,-0.3228,0.1305,0
39703930,0.5097,0.2681,-0.6413,0.5070,-0.4608,-0.2429,0.0397,0
39704097,0.5088,0.2674,-0.6414,0.5081,-0.4011,-0.2557,0.0790,0
39704263,0.5081,0.2667,-0.6416,0.5090,-0.4643,-0.3980,0.2336,0
39704430,0.5072,0.2661,-0.6418,0.5100,-0.6034,-0.3413,0.2536,0
39704597,0.5065,0.2654,-0.6419,0.5109,-0.6787,-0.3725,0.2399,0
39704763,0.5061,0.2646,-0.6417,0.5119,-0.5092,-0.4442,0.1802,0
39704930,0.5056,0.2642,-0.6415,0.5128,-0.3959,-0.5016,0.1331,0
39705097,0.5048,0.2641,-0.6416,0.5136,-0.4842,-0.4157,0.2768,0
39705263,0.5043,0.2639,-0.6414,0.5145,-0.7210,-0.3812,0.1256,0
39705430,0.5041,0.2636,-0.6412,0.5150,-0.6338,-0.3884,-0.1002,0
39705597,0.5039,0.2637,-0.6411,0.5154,-0.5032,-0.4209,-0.0332,0
39705763,0.5038,0.2639,-0.6408,0.5157,-0.5162,-0.2905,0.2570,0
39705930,0.5036,0.2639,-0.6405,0.5163,-0.5066,-0.4091,0.2058,0
39706097,0.5032,0.2640,-0.6405,0.5166,-0.4811,-0.3409,0.0845,0
39706263,0.5027,0.2640,-0.6407,0.5168,-0.5466,-0.3368,0.1572,0
39706430,0.5024,0.2640,-0.6407,0.5171,-0.4309,-0.4214,0.1767,0
39706597,0.5022,0.2641,-0.6407,0.5173,-0.3818,-0.4898,0.1445,0
39706763,0.5019,0.2641,-0.6407,0.5175,-0.3494,-0.4371,0.0626,0
39706930,0.5018,0.2641,-0.6407,0.5177,-0.4184,-0.3889,0.0946,0
39707097,0.5016,0.2640,-0.6408,0.5178,-0.3528,-0.3969,0.2499,0
39707263,0.5015,0.2638,-0.6407,0.5181,-0.2745,-0.4719,0.1858,0
39707430,0.5009,0.2640,-0.6407,0.5185,-0.2334,-0.4769,0.0895,0
39707597,0.5001,0.2644,-0.6409,0.5189,-0.4743,-0.4573,0.1712,0
39707763,0.4995,0.2647,-0.6408,0.5193,-0.6437,-0.4061,0.1817,0
39707930,0.4993,0.2648,-0.6408,0.5196,-0.4865,-0.5218,0.1231,0
39708097,0.4989,0.2650,-0.6407,0.5200,-0.3975,-0.5617,0.0452,0
39708263,0.4982,0.2656,-0.6406,0.5204,-0.4670,-0.4777,0.0794,0
39708430,0.4978,0.2659,-0.6407,0.5206,-0.4041,-0.4934,0.1220,0
39708597,0.4972,0.2663,-0.6409,0.5207,-0.2981,-0.4907,0.0599,0
39708763,0.4967,0.2667,-0.6410,0.5208,-0.3991,-0.4434,0.1038,0
39708930,0.4962,0.2670,-0.6411,0.5211,-0.3052,-0.4328,0.1050,0
39709097,0.4956,0.2672,-0.6411,0.5215,-0.3440,-0.4189,-0.0591,0
39709263,0.4950,0.2674,-0.6414,0.5217,-0.3536,-0.3881,-0.0304,0
39709430,0.4946,0.2672,-0.6417,0.5218,-0.3499,-0.3570,0.1681,0
39709597,0.4945,0.2667,-0.6419,0.5218,-0.0654,-0.4565,0.0599,0
39709763,0.4941,0.2664,-0.6423,0.5219,-0.1327,-0.5878,0.1863,0
39709930,0.4936,0.2661,-0.6427,0.5220,-0.4184,-0.4543,0.1936,0
39710097,0.4932,0.2656,-0.6432,0.5221,-0.1668,-0.6508,0.2577,0
39710263,0.4924,0.2653,-0.6435,0.5226,-0.1320,-0.7058,0.2733,0
39710430,0.4915,0.2649,-0.6439,0.5231,-0.3393,-0.5875,0.0920,0
39710597,0.4907,0.2647,-0.6442,0.5236,-0.3151,-0.5648,0.1995,0
39710763,0.4903,0.2642,-0.6443,0.5241,-0.3347,-0.5937,0.1576,0
39710930,0.4897,0.2637,-0.6445,0.5246,-0.5096,-0.5329,-0.0915,0
39711097,0.4894,0.2632,-0.6447,0.5250,-0.4361,-0.5163,-0.0959,0
39711263,0.4890,0.2629,-0.6449,0.5253,-0.3628,-0.5393,-0.0841,0
39711430,0.4887,0.2626,-0.6450,0.5255,-0.3168,-0.5272,-0.0175,0
39711597,0.4884,0.2625,-0.6450,0.5259,-0.4525,-0.4615,-0.0064,0
39711763,0.4885,0.2622,-0.6450,0.5260,-0.4891,-0.4127,0.1215,0
39711930,0.4888,0.2618,-0.6447,0.5262,-0.6348,-0.2303,0.1042,0
39712097,0.4895,0.2611,-0.6445,0.5261,-0.5731,-0.2264,0.0841,0
39712263,0.4900,0.2609,-0.6442,0.5262,-0.2889,-0.4217,0.3171,0
39712430,0.4899,0.2608,-0.6439,0.5266,-0.3675,-0.3737,0.2977,0
39712597,0.4898,0.2606,-0.6439,0.5269,-0.6016,-0.3780,0.2147,0
39712764,0.4898,0.2601,-0.6440,0.5270,-0.4661,-0.4958,0.1083,0
39712930,0.4896,0.2597,-0.6443,0.5270,-0.2956,-0.5982,0.0873,0
39713097,0.4893,0.2592,-0.6445,0.5272,-0.4085,-0.5736,0.1713,0
39713264,0.4893,0.2584,-0.6446,0.5275,-0.3334,-0.5092,0.0961,0
39713430,0.4892,0.2577,-0.6447,0.5278,-0.1010,-0.5019,0.1274,0
39713597,0.4889,0.2572,-0.6449,0.5282,-0.1570,-0.5080,0.0697,0
39713764,0.4885,0.2564,-0.6452,0.5285,-0.4394,-0.4383,0.0475,0
39713930,0.4883,0.2552,-0.6458,0.5285,-0.4424,-0.4907,0.1173,0
39714097,0.4881,0.2541,-0.6463,0.5286,-0.1799,-0.5690,0.1796,0
39714264,0.4878,0.2534,-0.6464,0.5291,-0.1018,-0.6089,0.2646,0
39714430,0.4873,0.2526,-0.6464,0.5300,-0.2552,-0.4960,0.1089,0
39714597,0.4869,0.2515,-0.6466,0.5306,-0.5576,-0.4165,-0.0188,0
39714764,0.4867,0.2499,-0.6472,0.5309,-0.4884,-0.4187,0.1585,0
39714930,0.4864,0.2481,-0.6480,0.5310,-0.2369,-0.5614,0.3112,0
39715097,0.4859,0.2464,-0.6486,0.5316,-0.1827,-0.6334,0.2560,0
39715264,0.4853,0.2449,-0.6490,0.5323,-0.2553,-0.6915,0.1401,0
39715430,0.4846,0.2435,-0.6493,0.5332,-0.3900,-0.6381,0.1000,0
39715597,0.4842,0.2420,-0.6495,0.5340,-0.3187,-0.5408,0.1270,0
39715764,0.4839,0.2404,-0.6495,0.5349,-0.2185,-0.5111,0.2046,0
39715930,0.4835,0.2388,-0.6496,0.5359,-0.4023,-0.4817,0.0872,0
39716097,0.4832,0.2369,-0.6499,0.5367,-0.5650,-0.4015,0.0965,0
39716264,0.4831,0.2348,-0.6503,0.5373,-0.3854,-0.4894,0.2014,0
39716430,0.4827,0.2329,-0.6507,0.5379,-0.2977,-0.4604,0.1795,0
39716597,0.4821,0.2314,-0.6510,0.5387,-0.3680,-0.4213,0.2551,0
39716764,0.4816,0.2300,-0.6510,0.5398,-0.5512,-0.2898,0.1772,0
39716930,0.4813,0.2283,-0.6510,0.5408,-0.5669,-0.3121,0.0774,0
39717097,0.4810,0.2265,-0.6510,0.5418,-0.3084,-0.4452,0.1061,0
39717264,0.4805,0.2246,-0.6511,0.5428,-0.5121,-0.5094,0.2363,0
39717430,0.4804,0.2226,-0.6511,0.5438,-0.7739,-0.3957,-0.0299,0
39717597,0.4806,0.2204,-0.6514,0.5442,-0.7799,-0.4169,0.0341,0
39717764,0.4808,0.2181,-0.6516,0.5447,-0.6747,-0.4103,0.1171,0
39717930,0.4811,0.2159,-0.6516,0.5452,-0.4751,-0.3734,0.2961,0
39718097,0.4814,0.2138,-0.6515,0.5459,-0.3196,-0.3841,0.3451,0
39718264,0.4815,0.2118,-0.6514,0.5468,-0.3056,-0.3032,0.1435,0
39718430,0.4814,0.2100,-0.6515,0.5475,-0.3345,-0.1646,0.0043,0
39718597,0.4812,0.2081,-0.6518,0.5480,-0.3688,-0.1681,0.0782,0
39718764,0.4809,0.2061,-0.6523,0.5484,-0.3488,-0.1368,0.1363,0
39718930,0.4805,0.2043,-0.6529,0.5487,-0.1980,-0.2382,0.2017,0
39719097,0.4798,0.2027,-0.6534,0.5494,-0.1912,-0.1967,0.1785,0
39719264,0.4789,0.2013,-0.6538,0.5502,-0.2760,-0.1700,0.0320,0
39719430,0.4779,0.2000,-0.6543,0.5509,-0.3888,-0.1965,0.1207,0
39719597,0.4770,0.1986,-0.6549,0.5515,-0.4143,-0.2889,0.0530,0
39719764,0.4760,0.1971,-0.6556,0.5521,-0.2414,-0.3958,-0.0066,0
39719930,0.4748,0.1959,-0.6562,0.5528,-0.1606,-0.4333,0.0801,0
39720097,0.4734,0.1948,-0.6570,0.5535,-0.2909,-0.3605,0.1134,0
39720264,0.4720,0.1936,-0.6577,0.5542,-0.4084,-0.2647,0.1067,0
39720430,0.4708,0.1923,-0.6584,0.5549,-0.3237,-0.3621,0.1553,0
39720597,0.4695,0.1911,-0.6590,0.5557,-0.3156,-0.3899,0.1711,0
39720764,0.4683,0.1898,-0.6594,0.5566,-0.4282,-0.3385,0.1585,0
39720930,0.4673,0.1882,-0.6599,0.5574,-0.4006,-0.4231,0.0669,0
39721097,0.4663,0.1866,-0.6605,0.5581,-0.4239,-0.3818,0.0604,0
39721264,0.4652,0.1850,-0.6613,0.5585,-0.5381,-0.4229,0.1830,0
39721430,0.4642,0.1833,-0.6622,0.5590,-0.4968,-0.3301,0.3072,0
39721597,0.4631,0.1816,-0.6629,0.5596,-0.2972,-0.4659,0.3404,0
39721764,0.4618,0.1804,-0.6631,0.5607,-0.2771,-0.5830,0.3309,0
39721930,0.4607,0.1794,-0.6632,0.5620,-0.4359,-0.4947,0.0312,0
39722097,0.4603,0.1780,-0.6632,0.5627,-0.3887,-0.3804,-0.0500,0
39722264,0.4602,0.1771,-0.6633,0.5629,-0.4171,-0.6471,0.2265,0
39722430,0.4602,0.1762,-0.6629,0.5637,-0.7142,-0.4900,0.4597,0
39722597,0.4604,0.1758,-0.6618,0.5650,-0.9656,-0.2590,0.3834,0
39722764,0.4613,0.1759,-0.6597,0.5667,-0.6726,-0.5771,0.5496,0
39722930,0.4611,0.1763,-0.6582,0.5685,-0.1679,-0.5453,0.5450,0
39723097,0.4601,0.1766,-0.6571,0.5703,-0.4881,-0.0904,0.1909,0
39723264,0.4595,0.1758,-0.6565,0.5718,-0.6337,0.3334,-0.3075,0
39723430,0.4595,0.1741,-0.6563,0.5725,-0.3529,0.2259,-0.5366,0
39723597,0.4591,0.1722,-0.6572,0.5724,-0.2390,-0.2402,-0.0353,0
39723764,0.4587,0.1696,-0.6575,0.5732,0.2501,-0.0205,0.0238,0
39723930,0.4569,0.1685,-0.6586,0.5737,0.3036,-0.2295,0.0132,0
39724097,0.4550,0.1671,-0.6588,0.5753,0.2885,-0.1657,0.0321,0
39724264,0.4526,0.1662,-0.6597,0.5765,-0.1943,-0.0332,-0.3067,0
39724430,0.4508,0.1648,-0.6608,0.5770,-0.3582,-0.0366,-0.2945,0
39724597,0.4492,0.1635,-0.6620,0.5773,-0.3731,-0.2592,0.1560,0
