DeviceTag: Xsens XIII,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2026-07-17 11:13:52.707,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
14446997,0.4016,0.6990,-0.2128,0.5521,-0.4089,-0.4672,0.1208,0
14447163,0.4018,0.6984,-0.2136,0.5525,-0.1783,-0.2622,0.0724,0
14447330,0.4023,0.6974,-0.2145,0.5530,-0.1008,-0.1983,0.0194,0
14447497,0.4027,0.6964,-0.2155,0.5535,0.0327,-0.1748,-0.0724,0
14447663,0.4029,0.6955,-0.2166,0.5541,0.1927,-0.1983,-0.2439,0
14447830,0.4028,0.6947,-0.2172,0.5549,0.2491,-0.1567,-0.2899,0
14447997,0.4022,0.6943,-0.2175,0.5557,0.1255,-0.1864,-0.2083,0
14448163,0.4014,0.6940,-0.2177,0.5566,-0.1053,-0.2419,-0.1099,0
14448330,0.4008,0.6935,-0.2181,0.5575,-0.2222,-0.2980,-0.0734,0
14448497,0.4005,0.6928,-0.2189,0.5583,-0.1590,-0.3337,-0.0219,0
14448663,0.4003,0.6920,-0.2196,0.5591,-0.0759,-0.3374,0.0182,0
14448830,0.4001,0.6913,-0.2203,0.5599,0.0214,-0.2336,0.0165,0
14448997,0.3995,0.6909,-0.2208,0.5606,-0.0736,-0.1894,-0.0116,0
14449163,0.3989,0.6906,-0.2213,0.5612,-0.2018,-0.2795,0.0220,0
14449330,0.3985,0.6903,-0.2219,0.5616,-0.2753,-0.4292,0.0639,0
14449497,0.3984,0.6899,-0.2226,0.5620,-0.2087,-0.4328,0.0786,0
14449663,0.3982,0.6894,-0.2231,0.5625,-0.0587,-0.4073,0.1068,0
14449830,0.3982,0.6889,-0.2235,0.5630,-0.1022,-0.3426,0.0703,0
14449997,0.3981,0.6884,-0.2239,0.5635,-0.1657,-0.3060,0.0023,0
14450163,0.3980,0.6880,-0.2241,0.5639,-0.1065,-0.2662,-0.1314,0
14450330,0.3977,0.6879,-0.2242,0.5642,-0.0135,-0.1879,-0.1552,0
14450497,0.3972,0.6879,-0.2243,0.5645,-0.1969,-0.2968,-0.0960,0
14450663,0.3969,0.6879,-0.2243,0.5648,-0.2980,-0.4873,0.0524,0
14450830,0.3969,0.6877,-0.2244,0.5650,-0.2477,-0.5263,0.0934,0
14450997,0.3971,0.6874,-0.2245,0.5651,-0.1837,-0.4378,0.0219,0
14451163,0.3974,0.6870,-0.2248,0.5653,-0.1650,-0.2636,-0.0221,0
14451330,0.3978,0.6865,-0.2252,0.5655,-0.1261,-0.2121,0.0388,0
14451497,0.3981,0.6861,-0.2257,0.5655,-0.0437,-0.2222,-0.0057,0
14451663,0.3982,0.6860,-0.2260,0.5655,-0.0875,-0.2281,-0.0796,0
14451830,0.3980,0.6861,-0.2263,0.5654,-0.1851,-0.3360,0.0312,0
14451997,0.3981,0.6859,-0.2267,0.5653,-0.1977,-0.5225,0.0878,0
14452163,0.3984,0.6857,-0.2271,0.5653,-0.1435,-0.4812,0.1072,0
14452330,0.3988,0.6854,-0.2274,0.5653,-0.0787,-0.3451,0.0402,0
14452497,0.3991,0.6851,-0.2278,0.5652,-0.1079,-0.2486,-0.0035,0
14452663,0.3995,0.6849,-0.2282,0.5650,-0.2246,-0.2610,-0.0387,0
14452830,0.3999,0.6847,-0.2287,0.5648,-0.1040,-0.3106,-0.0313,0
14452997,0.4001,0.6846,-0.2291,0.5646,-0.0468,-0.3767,-0.0413,0
14453163,0.4004,0.6843,-0.2294,0.5646,-0.0546,-0.4048,0.0740,0
14453330,0.4007,0.6841,-0.2297,0.5646,-0.0694,-0.4260,0.0174,0
14453497,0.4009,0.6840,-0.2297,0.5645,-0.1146,-0.3497,-0.0765,0
14453663,0.4010,0.6839,-0.2298,0.5645,-0.2038,-0.3161,-0.0983,0
14453830,0.4012,0.6838,-0.2299,0.5644,-0.1799,-0.2832,-0.1090,0
14453997,0.4015,0.6836,-0.2302,0.5644,-0.1628,-0.2347,-0.1076,0
14454163,0.4019,0.6832,-0.2307,0.5644,-0.1419,-0.2951,-0.0152,0
14454330,0.4024,0.6826,-0.2316,0.5643,-0.0398,-0.3000,0.0399,0
14454497,0.4029,0.6821,-0.2323,0.5643,0.0135,-0.2521,-0.0298,0
14454663,0.4029,0.6819,-0.2329,0.5643,-0.0416,-0.3240,-0.0771,0
