DeviceTag: Xsens_IX,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2026-07-17 10:50:31.863,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
675344,0.8519,0.1702,-0.3402,0.3599,-0.0154,-0.4562,0.0719,0
675511,0.8518,0.1704,-0.3403,0.3600,-0.0422,-0.4397,0.0772,0
675678,0.8517,0.1706,-0.3403,0.3601,-0.0275,-0.4501,0.0907,0
675844,0.8516,0.1708,-0.3404,0.3602,-0.0443,-0.4512,0.0805,0
676011,0.8515,0.1710,-0.3404,0.3603,-0.0331,-0.4570,0.0727,0
676178,0.8514,0.1712,-0.3404,0.3603,-0.0278,-0.4760,0.0696,0
676344,0.8513,0.1714,-0.3405,0.3604,-0.0215,-0.4643,0.0919,0
676511,0.8513,0.1716,-0.3405,0.3605,-0.0369,-0.4753,0.0848,0
676678,0.8512,0.1718,-0.3406,0.3606,-0.0252,-0.4636,0.0843,0
676844,0.8511,0.1719,-0.3406,0.3607,-0.0352,-0.4667,0.0977,0
677011,0.8510,0.1721,-0.3407,0.3607,-0.0260,-0.4706,0.0821,0
677178,0.8509,0.1723,-0.3407,0.3608,-0.0315,-0.4710,0.0738,0
677344,0.8508,0.1724,-0.3407,0.3609,-0.0310,-0.4946,0.0899,0
677511,0.8508,0.1726,-0.3408,0.3610,-0.0211,-0.4894,0.0674,0
677678,0.8507,0.1728,-0.3408,0.3610,-0.0527,-0.4934,0.0754,0
677844,0.8506,0.1729,-0.3409,0.3611,-0.0286,-0.5013,0.0720,0
678011,0.8505,0.1731,-0.3409,0.3612,-0.0163,-0.4913,0.0565,0
678178,0.8504,0.1732,-0.3409,0.3613,-0.0340,-0.5160,0.0909,0
678344,0.8504,0.1734,-0.3409,0.3613,-0.0311,-0.5088,0.0833,0
678511,0.8503,0.1735,-0.3410,0.3614,-0.0339,-0.4942,0.0860,0
678678,0.8502,0.1737,-0.3410,0.3615,-0.0234,-0.5040,0.0667,0
678844,0.8501,0.1738,-0.3410,0.3616,-0.0308,-0.5216,0.0806,0
679011,0.8501,0.1740,-0.3411,0.3616,-0.0277,-0.4931,0.0550,0
679178,0.8500,0.1741,-0.3411,0.3617,-0.0309,-0.5108,0.0584,0
679344,0.8499,0.1742,-0.3411,0.3618,-0.0212,-0.5120,0.0840,0
679511,0.8499,0.1743,-0.3412,0.3618,-0.0257,-0.5281,0.0747,0
679678,0.8498,0.1745,-0.3412,0.3619,-0.0381,-0.5256,0.0856,0
679845,0.8497,0.1746,-0.3412,0.3620,-0.0158,-0.5101,0.0500,0
680011,0.8497,0.1747,-0.3412,0.3620,-0.0302,-0.5184,0.0645,0
680178,0.8496,0.1748,-0.3413,0.3621,-0.0265,-0.5242,0.0796,0
680345,0.8496,0.1749,-0.3413,0.3621,-0.0140,-0.5194,0.0594,0
680511,0.8495,0.1750,-0.3413,0.3622,-0.0116,-0.5281,0.0915,0
680678,0.8495,0.1751,-0.3413,0.3623,-0.0252,-0.5244,0.0619,0
680845,0.8494,0.1752,-0.3413,0.3623,-0.0214,-0.5319,0.0768,0
681011,0.8494,0.1753,-0.3414,0.3624,-0.0154,-0.5350,0.0776,0
681178,0.8493,0.1754,-0.3414,0.3624,-0.0257,-0.5425,0.0799,0
681345,0.8493,0.1755,-0.3414,0.3625,-0.0297,-0.5279,0.0717,0
681511,0.8492,0.1756,-0.3414,0.3625,-0.0428,-0.5474,0.0806,0
681678,0.8492,0.1757,-0.3414,0.3626,-0.0263,-0.5525,0.0925,0
681845,0.8491,0.1758,-0.3415,0.3627,-0.0162,-0.5260,0.0700,0
682011,0.8491,0.1758,-0.3415,0.3627,-0.0354,-0.5395,0.0759,0
682178,0.8490,0.1759,-0.3415,0.3628,-0.0308,-0.5362,0.0923,0
682345,0.8490,0.1760,-0.3415,0.3628,-0.0332,-0.5337,0.0647,0
682511,0.8489,0.1761,-0.3415,0.3629,-0.0292,-0.5282,0.0684,0
682678,0.8489,0.1761,-0.3415,0.3630,-0.0223,-0.5503,0.0881,0
682845,0.8489,0.1762,-0.3415,0.3630,-0.0355,-0.5561,0.0731,0
683011,0.8488,0.1762,-0.3415,0.3631,-0.0337,-0.5307,0.0661,0
683178,0.8488,0.1763,-0.3415,0.3631,-0.0476,-0.5436,0.0973,0
683345,0.8488,0.1763,-0.3415,0.3631,-0.0344,-0.5418,0.0921,0
683511,0.8487,0.1764,-0.3415,0.3632,-0.0275,-0.5492,0.0792,0
683678,0.8487,0.1764,-0.3415,0.3632,-0.0387,-0.5508,0.0705,0
683845,0.8487,0.1765,-0.3415,0.3632,-0.0284,-0.5355,0.0731,0
684011,0.8487,0.1765,-0.3415,0.3633,-0.0330,-0.5566,0.0677,0
684178,0.8486,0.1766,-0.3415,0.3633,-0.0204,-0.5463,0.0758,0
684345,0.8486,0.1766,-0.3415,0.3634,-0.0203,-0.5683,0.0912,0
684511,0.8486,0.1766,-0.3416,0.3634,-0.0191,-0.5458,0.0652,0
684678,0.8486,0.1767,-0.3416,0.3634,-0.0310,-0.5370,0.0784,0
684845,0.8485,0.1767,-0.3416,0.3635,-0.0372,-0.5786,0.0778,0
685011,0.8485,0.1767,-0.3416,0.3635,-0.0302,-0.5570,0.0811,0
685178,0.8485,0.1767,-0.3415,0.3635,-0.0257,-0.5531,0.0558,0
