Timestamp (s),Joint_Angle (deg)
15.885,52.90709512200515
15.8895,52.338694489916776
15.894,52.05577898795475
15.8985,52.05577898795475
15.903,51.38764254199023
15.9075,50.968422202364785
15.912,50.24691929403687
15.9165,49.73842945812352
15.921,48.99373979536026
15.9255,48.33413512846158
15.93,47.61884746611698
15.9345,46.98224145730048
15.939,46.475152405275686
15.9435,46.10057849173459
15.948,45.517610634545434
15.9525,45.314944328700804
15.957,45.314944328700804
15.9615,44.6253450619927
15.966,44.12219844008308
15.9705,44.12219844008308
15.975,43.973167251801755
15.9795,43.417377536655955
15.984,43.26160399304586
15.9885,42.59971653006084
15.993,42.35764604524713
15.9975,41.561835429796346
16.002,41.14683793474504
16.0065,40.294279056837055
16.011,39.91522632072169
16.0155,39.14308211547185
16.02,38.86683847083712
16.0245,38.15250747537226
16.029,38.15250747537226
16.0335,37.41501379692676
16.038,37.41501379692676
16.0425,37.49260884914106
16.047,36.92768238361965
16.0515,37.36422649667229
16.056,36.74529814741759
16.0605,37.014808134721235
16.065,36.22473685540275
16.0695,36.2967312451265
16.074,35.46597757980328
16.0785,35.282283195491374
16.083,34.441113775977215
16.0875,34.30538923406803
16.092,33.688260115142036
16.0965,33.688260115142036
16.101,32.92197685052647
16.1055,32.92197685052647
16.11,33.317225087582614
16.1145,32.77587949148274
16.119,33.21048402097746
16.1235,32.89070530785474
16.128,33.2574542241109
16.1325,32.89844819643623
16.137,33.18325721285655
16.1415,32.77792441732883
16.146,32.77792441732883
16.1505,32.37366619161136
16.155,32.28139832825593
16.1595,31.817513253798875
16.164,31.817513253798875
16.1685,31.12732691055308
16.173,31.12732691055308
16.1775,30.919607807874627
16.182,30.372580932892323
16.1865,30.30674082643022
16.191,29.859519090345586
16.1955,29.917305849041103
16.2,29.453443796123405
16.2045,29.59908754509297
16.209,29.24290974678316
16.2135,29.44040954169647
16.218,29.157654704061613
16.2225,29.157654704061613
16.227,29.066289468490147
16.2315,29.066289468490147
16.236,28.82506598487224
16.2405,28.82506598487224
16.245,28.772315204230452
16.2495,28.401747557549342
16.254,28.362751242864118
16.2585,27.868982992477523
16.263,27.866014125313193
16.2675,27.287553948834162
16.272,27.287553948834162
16.2765,26.64532990292222
16.281,26.657921455204193
16.2855,26.043164826009523
16.29,26.043164826009523
16.2945,25.482594523311075
16.299,25.482594523311075
16.3035,25.653358774721244
16.308,25.07989744030614
16.3125,25.208682252752215
16.317,24.745271791952074
16.3215,24.73594747368628
16.326,24.280757065609215
16.3305,24.164512857923793
16.335,23.77760416035254
16.3395,23.634580826047877
16.344,23.25417222537333
16.3485,23.25417222537333
16.353,22.73111498597727
16.3575,22.73111498597727
16.362,22.201740816297406
16.3665,22.201740816297406
16.371,22.194525974118353
16.3755,21.67832980080133
16.38,21.18091028714465
16.3845,21.18091028714465
16.389,21.30356626103228
16.3935,20.744919624302742
16.398,20.957079106700558
16.4025,20.43263331373502
16.407,20.607283608216076
16.4115,20.195167659223316
16.416,20.195167659223316
16.4205,19.8835381762129
16.425,19.8835381762129
16.4295,19.436254955662676
16.434,19.436254955662676
16.4385,18.8744399690342
16.443,18.8744399690342
16.4475,18.346335833345876
16.452,18.346335833345876
16.4565,18.278244984103505
16.461,17.949005887720336
16.4655,17.929533256176374
16.47,17.585513497202953
16.4745,17.585513497202953
16.479,17.282404875313127
16.4835,17.282404875313127
16.488,16.994526805126487
16.4925,16.994526805126487
16.497,16.662055166704853
16.5015,16.662055166704853
16.506,16.27072680636609
16.5105,16.27072680636609
16.515,15.932835939547736
16.5195,15.932835939547736
16.524,15.98488158233991
16.5285,15.712880092913473
16.533,15.821974131175208
16.5375,15.623151798453263
16.542,15.623151798453263
16.5465,15.660553970511183
16.551,15.660553970511183
16.5555,15.816755495392092
16.56,15.816755495392092
16.5645,16.0409110259578
16.569,16.0409110259578
16.5735,16.295636190767755
16.578,16.295636190767755
16.5825,16.479528865356276
16.587,16.479528865356276
16.5915,16.691259288084325
16.596,16.61483620742523
16.6005,16.61483620742523
16.605,16.714518507188565
16.6095,16.714518507188565
16.614,16.79512584579981
16.6185,16.79512584579981
16.623,16.845580113800764
16.6275,16.845580113800764
16.632,16.878163149035867
16.6365,16.878163149035867
16.641,16.94448076287258
16.6455,16.94448076287258
16.65,17.025363677434996
16.6545,17.025363677434996
16.659,17.153920126244095
16.6635,17.117573537294348
16.668,17.117573537294348
16.6725,17.272167512745543
16.677,17.272167512745543
16.6815,17.470963625291283
16.686,17.470963625291283
16.6905,17.58145805974013
16.695,17.58145805974013
16.6995,17.63641610542303
16.704,17.63641610542303
16.7085,17.73909798588005
16.713,17.73909798588005
16.7175,17.921071911713838
16.722,17.921071911713838
16.7265,17.921071911713838
16.731,18.103681433527377
16.7355,18.103681433527377
16.74,18.17898892492814
16.7445,18.17898892492814
16.749,18.19027899140757
16.7535,18.19027899140757
16.758,18.12023969866726
16.7625,18.12023969866726
16.767,18.05690787736729
16.7715,18.05690787736729
16.776,18.019751108063844
16.7805,18.019751108063844
16.785,17.991664483647
16.7895,17.991664483647
16.794,17.991664483647
16.7985,17.95096165690311
16.803,17.95096165690311
16.8075,17.88696509740251
16.812,17.88696509740251
16.8165,17.856540620718082
16.821,17.856540620718082
16.8255,17.826585048094746
16.83,17.826585048094746
16.8345,17.72545402050913
16.839,17.72545402050913
16.8435,17.577825555862432
16.848,17.577825555862432
16.8525,17.42905891224309
16.857,17.455522289616127
16.8615,17.334717846579156
16.866,17.362260434883318
16.8705,17.362260434883318
16.875,17.289101409322
16.8795,17.289101409322
16.884,17.263817974797345
16.8885,17.263817974797345
16.893,17.235283832623615
16.8975,17.235283832623615
16.902,17.19530467146538
16.9065,17.19530467146538
16.911,17.086830056263995
16.9155,17.086830056263995
16.92,16.90613998947081
16.9245,16.851628290886616
16.929,16.793541922465018
16.9335,16.63398543286761
16.938,16.63398543286761
16.9425,16.273748169348114
16.947,16.273748169348114
16.9515,15.827275103359765
16.956,15.827275103359765
16.9605,15.436266189099106
16.965,15.436266189099106
16.9695,15.093927112830789
16.974,15.093927112830789
16.9785,15.197376168682496
16.983,14.799208221533563
16.9875,14.920224558585879
16.992,14.62709644071014
16.9965,14.726655394970825
17.001,14.512119545550938
17.0055,14.512119545550938
17.01,14.416762741131661
17.0145,14.416762741131661
17.019,14.320982798624573
17.0235,14.320982798624573
17.028,14.22691374305678
17.0325,14.22691374305678
17.037,14.226005494678594
17.0415,14.226005494678594
17.046,14.492647583496948
17.0505,14.307538957673666
17.055,14.642422257160339
17.0595,14.500017027696412
17.064,14.894750864149554
17.0685,14.810625387618952
17.073,14.810625387618952
17.0775,15.209562529425058
17.082,15.209562529425058
17.0865,15.680621668823328
17.091,15.680621668823328
17.0955,16.16842948915655
17.1,16.16842948915655
17.1045,16.738404653597055
17.109,16.649378510842695
17.1135,17.259686523313096
17.118,17.15577825070629
17.1225,17.761803340843134
17.127,17.656739351616878
17.1315,18.233541165714453
17.136,18.153335518745482
17.1405,18.153335518745482
17.145,18.67477619995303
17.1495,18.67477619995303
17.154,19.2310143465015
17.1585,19.2310143465015
17.163,19.78699665433593
17.1675,19.78699665433593
17.172,20.424232772719172
17.1765,20.36447174539797
17.181,21.059851126798108
17.1855,21.021592201809927
17.19,21.773894761832864
17.1945,21.76296823135152
17.199,22.50367548965805
17.2035,22.46483994546312
17.208,22.46483994546312
17.2125,23.178726542064673
17.217,23.178726542064673
17.2215,23.899636445651904
17.226,23.899636445651904
17.2305,24.72121703758371
17.235,24.535576582895082
17.2395,25.347477924285066
17.244,25.0753073481763
17.2485,25.93398549468838
17.253,25.638629440945206
17.2575,26.497392251508238
17.262,26.266014647706893
17.2665,27.047048981983597
17.271,26.824205602183554
17.2755,26.824205602183554
17.28,27.449364318219207
17.2845,27.449364318219207
17.289,28.205798981937026
17.2935,28.205798981937026
17.298,29.09316538106366
17.3025,29.02149424834735
17.307,29.878762755671048
17.3115,29.76651479160968
17.316,30.61033339325211
17.3205,30.49141008546202
17.325,31.254670048791464
17.3295,31.11551620738494
17.334,31.8202538320235
17.3385,31.69821583657785
17.343,31.69821583657785
17.3475,32.28349049731647
17.352,32.28349049731647
17.3565,32.96497841721965
17.361,32.90365707762613
17.3655,33.57521028011897
17.37,33.4641972419822
17.3745,34.17961300654164
17.379,34.0793984487453
17.3835,34.786583871321746
17.388,34.71519209272706
17.3925,35.38465021586091
17.397,35.34212752661093
17.4015,36.016958513301276
17.406,35.98384730265323
17.4105,35.98384730265323
17.415,36.684312344555124
17.4195,36.684312344555124
17.424,37.35512049725563
17.4285,37.356461277252244
17.433,37.961095918447604
17.4375,37.9246440337563
17.442,38.46930054698292
17.4465,38.41080535583906
17.451,38.9241387550921
17.4555,38.8298138435753
17.46,39.29338492119323
17.4645,39.22952418230759
17.469,39.63241593096699
17.4735,39.53691601697463
17.478,39.92269305868374
17.4825,39.832919197937386
17.487,39.832919197937386
17.4915,40.245865688611076
